STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,FA_SR_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,state,S1,S2,S3,S4,S5,S6
5,110,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,111,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,112,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,113,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,114,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,115,0,0,0,0,0,0,6,6,6,0,0,0,0,0,1
5,116,0,0,0,0,0,0,10,0,3,0,0,0.999860381712894,0,0,0.00013961828710574
5,117,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,118,4,6,3,0,0,1,7,1,2,0,1,0,0,0,0
5,119,4,4,4,6,3,0,1,0,5,0,0,0,0,1,0
5,120,0,0,0,10,3,0,0,0,4,0,0,0,0.999952511799164,4.74882008361663e-05,0
5,121,0,0,0,0,0,0,3,8,6,0,0,0,0,0,1
5,122,0,0,0,0,0,0,4,7,6,0,0,0,0,0,1
5,123,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0
5,124,10,6,4,0,0,0,1,0,1,1,0,0,0,0,0
5,125,8,5,1,0,0,0,2,2,2,0,1,0,0,0,0
5,126,0,0,0,0,0,0,10,0,3,0,0,0.999901780158981,0,0,9.82198410193337e-05
5,127,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,128,10,6,3,0,0,0,2,0,1,1,0,0,0,0,0
5,129,7,7,4,0,0,0,4,0,2,0,1,0,0,0,0
5,130,5,5,4,5,4,0,1,1,5,0,0,0,0,1,0
5,131,0,0,0,0,0,0,10,0,3,0,0,0.99990897461971,0,0,9.1025380290069e-05
5,132,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,133,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0
5,134,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,135,8,5,1,0,0,1,1,2,2,0,1,0,0,0,0
5,136,0,0,0,0,0,0,10,0,3,0,0,0.999901780158981,0,0,9.82198410193337e-05
5,137,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,138,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,139,5,5,4,0,0,2,3,2,2,0,1,0,0,0,0
5,140,9,7,2,0,0,2,1,0,2,0,1,0,0,0,0
5,141,2,3,6,9,4,0,1,1,5,0,0,0,0,1,0
5,142,0,0,0,0,0,5,4,3,6,0,0,0,0,0,1
5,143,9,6,0,0,0,0,2,0,2,0,1,0,0,0,0
5,144,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0
5,145,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,146,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,147,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,148,0,0,0,0,0,0,8,3,6,0,0,0,0,0,1
5,149,3,5,4,7,3,0,1,0,5,0,0,0,0,1,0
5,150,9,3,3,0,0,1,2,0,2,0,1,0,0,0,0
5,151,8,5,0,0,0,0,1,2,2,0,1,0,0,0,0
5,152,0,0,0,0,0,0,10,0,3,0,0,0.999901780158981,0,0,9.82198410193337e-05
5,153,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,154,10,10,0,0,0,0,0,0,1,1,0,0,0,0,0
5,155,3,0,7,0,0,0,9,0,6,0,0.00173648498488395,0,0,0,0.998263515015116
5,156,8,7,0,0,0,0,3,1,2,0,1,0,0,0,0
5,157,10,9,0,0,0,0,0,0,1,1,0,0,0,0,0
5,158,9,6,2,0,0,0,2,0,2,0,1,0,0,0,0
5,159,10,6,0,0,0,0,0,0,1,1,0,0,0,0,0
5,160,10,8,1,0,0,0,1,1,1,1,0,0,0,0,0
5,161,9,8,0,0,0,0,2,1,2,0,1,0,0,0,0
5,162,0,0,0,0,0,0,10,0,3,0,0,0.999901780158981,0,0,9.82198410193337e-05
5,163,7,8,0,0,0,0,4,0,2,0,1,0,0,0,0
5,164,0,0,0,0,0,0,10,0,3,0,0,0.999901780158981,0,0,9.82198410193337e-05
5,165,0,0,0,0,0,8,3,0,6,0,0,0,0,0,1
5,166,0,0,0,0,0,0,10,0,3,0,0,0.999860381712894,0,0,0.00013961828710574
5,167,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,168,0,0,0,0,0,0,10,0,3,0,0,0.999938568513652,0,0,6.14314863480512e-05
5,169,8,10,0,0,0,0,2,2,2,0,0.999857689376902,0,0,0,0.000142310623098376
5,170,6,4,5,3,10,0,2,1,5,0,0.00100710846545817,0,0,0.998992891534542,0
5,171,0,0,0,0,0,0,4,7,6,0,0,0,0,0,1
5,172,8,8,2,0,0,1,2,1,2,0,1,0,0,0,0
5,173,10,7,2,0,0,0,0,0,1,1,0,0,0,0,0
5,174,7,4,4,3,10,0,1,0,5,0,0.00153507184086059,0,0,0.998464928159139,0
5,175,10,10,0,0,0,0,0,0,1,1,0,0,0,0,0
