user_id,new.cl.w2,new.cl.w3,new.cl.w4,new.cl.w5,new.cl.w6,new.cl.w7,new.cl.w8,new.cl.w9,new.cl.w10,new.cl.w11,new.cl.w12,new.cl.w13
149,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,HA_BAL_MC,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
150,DISENGAGED,DISENGAGED,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,HA_BAL
151,MA_ALL-ACT_BAL,A_NEG-DIFF,HA_BAL_MC,SAS-ONLY_NEG-DIFF,A_POS-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
152,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
154,MA_ALL-ACT_BAL,A_NEG-DIFF,HA_BAL_MC,HA_NEG-DIFF_MC,HA_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL
155,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL_MC,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
156,DISENGAGED,DISENGAGED,DISENGAGED,SAS-ONLY_BAL,NA,NA,NA,NA,NA,NA,NA,NA
157,A_POS-DIFF,A_NEG-DIFF,HA_BAL_MC,SAS-ONLY_BAL,HA_BAL_MC,SAS-ONLY_BAL,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,HA_BAL
158,MA_ALL-ACT_BAL,A_NEG-DIFF,DISENGAGED,NA,A_POS-DIFF,SAS-ONLY_BAL,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,NA,HA_BAL
159,DISENGAGED,DISENGAGED,DISENGAGED,NA,HA_BAL_MC,SAS-ONLY_BAL,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
160,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
