CASE_ID,ACTIVITY_NAME,TIMESTAMP,week
237,VIDEO_PLAY,2014-08-04 21:32:29,2
275,MCQ_SR,2014-08-04 21:32:44,2
275,MCQ_CO,2014-08-04 21:32:44,2
275,MCQ_IN,2014-08-04 21:33:04,2
275,MCQ_SR,2014-08-04 21:33:05,2
275,MCQ_CO,2014-08-04 21:33:07,2
275,MCQ_IN,2014-08-04 21:33:19,2
275,MCQ_SR,2014-08-04 21:33:20,2
275,MCQ_CO,2014-08-04 21:33:21,2
275,MCQ_IN,2014-08-04 21:33:32,2
275,MCQ_SR,2014-08-04 21:33:33,2
275,MCQ_CO,2014-08-04 21:33:35,2
275,MCQ_IN,2014-08-04 21:33:38,2
275,MCQ_SR,2014-08-04 21:33:39,2
275,MCQ_CO,2014-08-04 21:33:41,2
275,CONTENT_ACCESS,2014-08-04 21:33:50,2
275,DBOARD_ACCESS,2014-08-04 21:33:52,2
275,DBOARD_ACCESS,2014-08-04 21:34:13,2
275,MCQ_CO,2014-08-04 21:34:13,2
275,MCQ_CO,2014-08-04 21:34:13,2
275,MCQ_CO,2014-08-04 21:34:13,2
275,MCQ_CO,2014-08-04 21:34:13,2
275,MCQ_CO,2014-08-04 21:34:13,2
275,VIDEO_PLAY,2014-08-04 21:34:19,2
275,CONTENT_ACCESS,2014-08-04 21:34:20,2
275,VIDEO_PLAY,2014-08-04 21:34:24,2
275,VIDEO_PLAY,2014-08-04 21:34:24,2
237,VIDEO_PLAY,2014-08-04 21:35:48,2
237,VIDEO_PLAY,2014-08-04 21:36:04,2
275,VIDEO_PLAY,2014-08-04 21:48:20,2
275,VIDEO_PLAY,2014-08-04 21:48:20,2
275,DBOARD_ACCESS,2014-08-04 22:02:40,2
275,DBOARD_ACCESS,2014-08-04 22:03:09,2
275,CONTENT_ACCESS,2014-08-04 22:03:15,2
371,CONTENT_ACCESS,2014-08-04 22:23:41,2
358,CONTENT_ACCESS,2014-08-04 23:22:15,2
358,CONTENT_ACCESS,2014-08-04 23:42:32,2
79,CONTENT_ACCESS,2014-08-04 23:49:21,2
79,CONTENT_ACCESS,2014-08-04 23:58:59,2
79,CONTENT_ACCESS,2014-08-05 00:01:57,2
79,CONTENT_ACCESS,2014-08-05 00:04:40,2
322,CONTENT_ACCESS,2014-08-05 08:21:33,2
360,CONTENT_ACCESS,2014-08-05 08:56:49,2
360,CONTENT_ACCESS,2014-08-05 09:00:24,2
303,CONTENT_ACCESS,2014-08-05 09:14:32,2
386,CONTENT_ACCESS,2014-08-05 09:16:50,2
303,CONTENT_ACCESS,2014-08-05 09:17:19,2
386,CONTENT_ACCESS,2014-08-05 09:17:37,2
386,CONTENT_ACCESS,2014-08-05 09:18:01,2
386,CONTENT_ACCESS,2014-08-05 09:18:20,2
303,CONTENT_ACCESS,2014-08-05 09:20:05,2
386,CONTENT_ACCESS,2014-08-05 09:22:18,2
386,CONTENT_ACCESS,2014-08-05 09:29:39,2
144,CONTENT_ACCESS,2014-08-05 10:07:56,2
144,CONTENT_ACCESS,2014-08-05 10:07:59,2
42,CONTENT_ACCESS,2014-08-05 10:26:27,2
42,CONTENT_ACCESS,2014-08-05 10:26:28,2
42,CONTENT_ACCESS,2014-08-05 10:26:29,2
144,CONTENT_ACCESS,2014-08-05 10:30:18,2
150,CONTENT_ACCESS,2014-08-05 11:16:27,2
340,CONTENT_ACCESS,2014-08-05 11:30:38,2
340,CONTENT_ACCESS,2014-08-05 11:30:38,2
340,CONTENT_ACCESS,2014-08-05 11:30:39,2
340,CONTENT_ACCESS,2014-08-05 11:33:03,2
340,DBOARD_ACCESS,2014-08-05 11:33:11,2
76,CONTENT_ACCESS,2014-08-05 11:36:04,2
76,CONTENT_ACCESS,2014-08-05 11:37:59,2
76,CONTENT_ACCESS,2014-08-05 11:38:23,2
76,DBOARD_ACCESS,2014-08-05 11:38:50,2
76,CONTENT_ACCESS,2014-08-05 11:38:59,2
340,CONTENT_ACCESS,2014-08-05 11:39:08,2
76,CONTENT_ACCESS,2014-08-05 11:41:03,2
144,CONTENT_ACCESS,2014-08-05 12:19:22,2
237,CONTENT_ACCESS,2014-08-05 15:16:56,2
237,CONTENT_ACCESS,2014-08-05 16:00:47,2
237,CONTENT_ACCESS,2014-08-05 16:06:50,2
144,CONTENT_ACCESS,2014-08-05 16:32:06,2
237,CONTENT_ACCESS,2014-08-05 16:49:05,2
237,CONTENT_ACCESS,2014-08-05 16:50:24,2
144,CONTENT_ACCESS,2014-08-05 16:54:20,2
237,MCQ_IN,2014-08-05 16:59:58,2
237,MCQ_IN,2014-08-05 17:00:16,2
237,MCQ_SR,2014-08-05 17:00:18,2
237,CONTENT_ACCESS,2014-08-05 17:38:19,2
237,MCQ_CO,2014-08-05 17:38:29,2
237,EXE_IN,2014-08-05 17:38:46,2
237,EXE_CO,2014-08-05 17:39:33,2
237,CONTENT_ACCESS,2014-08-05 18:08:55,2
237,CONTENT_ACCESS,2014-08-05 18:09:59,2
237,CONTENT_ACCESS,2014-08-05 18:10:07,2
237,VIDEO_PLAY,2014-08-05 18:10:11,2
237,VIDEO_PLAY,2014-08-05 18:10:15,2
237,VIDEO_PLAY,2014-08-05 18:10:23,2
237,VIDEO_PLAY,2014-08-05 18:10:28,2
237,VIDEO_PLAY,2014-08-05 18:10:50,2
237,VIDEO_PLAY,2014-08-05 18:10:52,2
237,VIDEO_PLAY,2014-08-05 18:10:55,2
237,VIDEO_PLAY,2014-08-05 18:11:09,2
237,VIDEO_PLAY,2014-08-05 18:11:12,2
237,VIDEO_PLAY,2014-08-05 18:11:13,2
237,VIDEO_PLAY,2014-08-05 18:11:15,2
237,VIDEO_PLAY,2014-08-05 18:11:18,2
237,VIDEO_PLAY,2014-08-05 18:11:18,2
237,VIDEO_PLAY,2014-08-05 18:11:18,2
237,VIDEO_PLAY,2014-08-05 18:11:34,2
237,VIDEO_PLAY,2014-08-05 18:11:41,2
237,VIDEO_PLAY,2014-08-05 18:12:29,2
237,VIDEO_PLAY,2014-08-05 18:12:53,2
237,VIDEO_PLAY,2014-08-05 18:13:31,2
237,EXE_CO,2014-08-05 18:15:33,2
237,EXE_IN,2014-08-05 18:23:49,2
237,CONTENT_ACCESS,2014-08-05 18:28:03,2
237,CONTENT_ACCESS,2014-08-05 18:28:05,2
237,EXE_IN,2014-08-05 18:35:34,2
237,MCQ_CO,2014-08-05 18:36:45,2
237,MCQ_CO,2014-08-05 18:36:53,2
237,EXE_CO,2014-08-05 18:39:34,2
237,CONTENT_ACCESS,2014-08-05 18:40:22,2
237,EXE_IN,2014-08-05 18:47:30,2
237,EXE_CO,2014-08-05 18:48:57,2
237,EXE_CO,2014-08-05 18:58:52,2
237,EXE_CO,2014-08-05 18:59:07,2
237,EXE_IN,2014-08-05 18:59:16,2
237,CONTENT_ACCESS,2014-08-05 19:00:45,2
237,EXE_CO,2014-08-05 19:03:13,2
237,EXE_CO,2014-08-05 19:03:57,2
237,EXE_IN,2014-08-05 19:05:55,2
237,EXE_CO,2014-08-05 19:06:46,2
237,EXE_IN,2014-08-05 19:07:19,2
237,EXE_CO,2014-08-05 19:09:27,2
237,EXE_CO,2014-08-05 19:09:41,2
237,EXE_IN,2014-08-05 19:10:20,2
237,EXE_CO,2014-08-05 19:11:58,2
237,EXE_CO,2014-08-05 19:12:20,2
237,EXE_IN,2014-08-05 19:12:45,2
237,EXE_IN,2014-08-05 19:17:50,2
237,EXE_IN,2014-08-05 19:19:06,2
237,EXE_CO,2014-08-05 19:19:22,2
237,EXE_IN,2014-08-05 19:19:35,2
237,EXE_CO,2014-08-05 19:19:40,2
237,EXE_CO,2014-08-05 19:19:51,2
237,CONTENT_ACCESS,2014-08-05 19:21:16,2
144,CONTENT_ACCESS,2014-08-05 22:38:45,2
144,CONTENT_ACCESS,2014-08-05 22:47:17,2
144,CONTENT_ACCESS,2014-08-05 22:47:39,2
144,CONTENT_ACCESS,2014-08-05 22:48:06,2
275,DBOARD_ACCESS,2014-08-05 23:56:54,2
144,CONTENT_ACCESS,2014-08-06 11:11:42,2
144,CONTENT_ACCESS,2014-08-06 11:21:19,2
144,MCQ_IN,2014-08-06 11:24:14,2
144,MCQ_SR,2014-08-06 11:24:16,2
144,MCQ_CO,2014-08-06 11:24:31,2
144,MCQ_CO,2014-08-06 11:24:52,2
144,CONTENT_ACCESS,2014-08-06 11:25:55,2
144,CONTENT_ACCESS,2014-08-06 11:25:57,2
144,CONTENT_ACCESS,2014-08-06 11:27:01,2
144,CONTENT_ACCESS,2014-08-06 11:45:06,2
144,CONTENT_ACCESS,2014-08-06 11:45:12,2
144,MCQ_CO,2014-08-06 11:46:22,2
144,MCQ_CO,2014-08-06 11:46:24,2
144,MCQ_CO,2014-08-06 11:46:25,2
144,CONTENT_ACCESS,2014-08-06 11:47:20,2
144,MCQ_CO,2014-08-06 11:54:16,2
144,CONTENT_ACCESS,2014-08-06 12:01:48,2
144,CONTENT_ACCESS,2014-08-06 12:03:03,2
144,CONTENT_ACCESS,2014-08-06 12:03:59,2
144,CONTENT_ACCESS,2014-08-06 12:04:06,2
144,CONTENT_ACCESS,2014-08-06 12:04:31,2
144,CONTENT_ACCESS,2014-08-06 12:04:36,2
144,CONTENT_ACCESS,2014-08-06 12:04:53,2
144,CONTENT_ACCESS,2014-08-06 12:05:58,2
