user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,lca5
263,2,3,1,1,2,3,3,3,1,2,2,4,5
266,4,3,2,3,4,1,2,1,4,3,2,4,4
267,5,4,5,2,1,2,5,1,NA,3,1,2,1
268,4,2,5,NA,3,3,4,NA,NA,4,3,1,3
269,2,2,1,2,1,2,3,4,1,2,1,4,2
272,4,1,2,2,5,2,2,1,1,3,1,4,1
274,5,3,4,1,1,3,3,1,2,4,3,4,3
275,2,1,3,1,1,3,1,1,5,4,1,1,1
281,1,3,3,2,1,2,1,4,5,1,1,1,1
282,5,2,2,1,1,1,4,3,3,1,2,4,5
283,NA,5,2,1,4,3,2,2,1,3,1,2,2
285,5,1,2,2,3,3,3,1,5,2,1,2,2
287,2,3,4,2,1,2,1,2,1,3,3,2,2
288,4,1,2,1,3,3,2,1,2,4,3,1,3
289,5,3,4,1,1,1,3,1,5,2,3,4,2
290,4,5,5,4,3,NA,4,1,NA,2,3,1,3
291,3,2,2,3,1,1,1,2,1,2,3,4,2
292,5,1,4,2,1,3,3,2,1,2,1,4,2
295,1,5,4,4,3,3,3,NA,2,2,3,1,3
296,5,4,3,2,2,3,5,4,1,3,1,1,1
298,4,1,3,2,1,2,1,1,1,3,4,2,1
299,1,1,5,4,3,3,NA,1,1,4,3,4,3
300,3,2,1,3,1,1,2,3,3,1,1,3,5
301,3,1,3,2,5,3,5,1,1,3,1,4,1
302,2,3,2,2,2,1,2,4,3,3,1,4,2
303,2,5,5,2,3,3,3,NA,2,3,NA,1,3
304,4,3,4,1,1,1,2,4,1,3,2,3,4
305,2,2,3,3,4,4,3,4,1,1,2,4,4
306,5,2,1,1,5,2,3,1,1,1,1,4,2
308,2,3,3,2,3,3,3,1,1,4,4,4,1
310,2,3,4,1,1,4,2,1,3,1,2,4,4
311,2,3,2,1,1,1,3,2,1,2,1,4,2
312,5,1,5,4,2,3,4,1,1,4,3,1,3
313,2,3,2,1,1,3,3,1,2,4,3,2,2
314,5,4,4,2,5,4,1,1,1,3,1,4,1
316,5,3,2,1,5,2,5,4,2,3,1,4,1
317,2,3,2,1,5,2,3,4,1,3,1,5,2
319,4,3,4,1,1,3,1,4,5,2,1,4,1
320,NA,3,2,2,3,2,5,4,5,3,4,1,1
322,5,1,3,2,3,2,4,4,1,3,1,3,1
323,4,4,3,2,3,3,5,4,1,3,4,1,1
324,1,3,3,2,3,1,2,2,1,1,2,4,4
325,5,3,2,2,5,3,2,2,3,2,1,5,4
327,NA,5,3,2,NA,3,1,4,5,3,4,4,1
328,4,4,4,2,1,2,1,4,1,3,4,5,1
329,NA,1,4,4,1,3,4,1,2,4,2,4,3
331,5,4,4,2,5,2,4,4,1,3,4,4,1
332,4,1,4,4,5,3,5,4,1,3,1,1,1
333,3,2,2,1,4,3,2,1,3,1,1,5,5
334,3,4,2,1,5,3,3,2,1,2,3,1,2
337,3,1,2,2,5,3,1,2,1,2,3,3,2
338,2,4,3,2,1,3,4,1,1,2,1,1,1
339,5,1,4,2,1,3,2,2,1,3,2,1,3
340,1,1,4,3,3,1,3,2,3,3,1,1,2
342,3,2,2,1,5,2,3,4,1,2,3,5,2
343,3,2,1,1,1,1,2,2,3,1,2,3,5
344,1,1,2,2,1,3,1,4,1,3,4,2,1
345,3,3,4,1,5,1,2,3,3,1,2,3,5
346,5,3,2,3,5,1,2,2,3,1,2,5,4
347,5,3,2,1,5,2,5,4,5,3,2,4,1
350,5,3,2,1,4,3,2,2,3,2,2,1,4
351,5,3,2,1,4,1,2,2,3,1,2,5,4
352,5,1,4,2,1,2,1,4,1,3,4,2,1
358,1,5,2,4,1,3,3,2,5,3,3,4,3
360,4,4,3,2,3,2,1,1,1,3,4,1,1
362,5,1,2,1,4,3,2,2,1,1,2,3,4
