user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,seq.cl
183,A,A,A,MA,A,A,MA,A,MA,A,MA,A,2
184,MA,NA,A,MA,A,SAS,NA,A,DENG,SAS,SAS,SAS,1
185,MA,HA,HA,HA,A,MA,NA,SAS,MA,SAS,SAS,SAS,1
186,MA,SAS,A,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,A,3
187,MA,A,NA,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,SAS,3
188,MA,A,SAS,SAS,HA,A,MA,SAS,SAS,A,MA,A,2
189,A,A,A,SAS,A,A,NA,A,MA,SAS,MA,A,2
190,DENG,NA,NA,SAS,A,SAS,SAS,SAS,DENG,SAS,SAS,A,4
191,MA,A,SAS,MA,DENG,SAS,SAS,HA,MA,SAS,SAS,SAS,3
192,DENG,NA,SAS,SAS,DENG,SAS,MA,SAS,MA,SAS,SAS,SAS,3
193,A,SAS,NA,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,A,3
194,A,HA,HA,HA,HA,A,MA,HA,DENG,A,MA,HA,2
195,A,HA,A,MA,HA,A,MA,HA,MA,A,MA,A,2
196,A,HA,HA,SAS,HA,SAS,SAS,SAS,SAS,SAS,SAS,SAS,1
197,A,NA,DENG,MA,DENG,SAS,MA,SAS,SAS,SAS,SAS,SAS,3
198,A,A,HA,MA,A,A,NA,HA,SAS,SAS,SAS,SAS,1
199,MA,NA,SAS,SAS,DENG,SAS,SAS,SAS,DENG,SAS,SAS,A,3
200,MA,NA,SAS,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,SAS,3
201,A,HA,A,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,SAS,3
202,A,NA,A,MA,DENG,A,MA,A,MA,A,MA,SAS,2
204,DENG,DENG,NA,SAS,A,SAS,SAS,NA,DENG,SAS,SAS,SAS,4
205,A,A,HA,MA,DENG,A,SAS,SAS,SAS,SAS,SAS,SAS,3
206,SAS,NA,NA,SAS,DENG,SAS,NA,SAS,SAS,SAS,SAS,A,1
207,A,A,HA,MA,A,MA,NA,A,MA,A,MA,A,2
208,A,HA,A,MA,A,A,MA,A,MA,SAS,MA,A,2
209,A,HA,HA,HA,A,A,MA,HA,MA,A,MA,SAS,2
210,A,HA,HA,SAS,HA,SAS,MA,HA,SAS,SAS,NA,HA,2
211,A,HA,NA,SAS,HA,SAS,SAS,SAS,SAS,SAS,SAS,A,1
213,A,A,SAS,SAS,DENG,A,NA,A,MA,A,MA,HA,2
215,A,A,NA,SAS,A,SAS,NA,SAS,SAS,SAS,SAS,SAS,1
216,A,A,A,MA,A,A,MA,A,MA,A,MA,A,2
217,A,A,HA,MA,A,SAS,NA,A,SAS,A,SAS,A,1
218,DENG,DENG,NA,MA,A,MA,NA,SAS,DENG,SAS,SAS,SAS,1
219,DENG,NA,DENG,SAS,A,SAS,SAS,SAS,DENG,SAS,SAS,A,3
220,MA,NA,NA,SAS,A,SAS,NA,A,MA,A,MA,A,1
222,SAS,A,NA,SAS,A,SAS,NA,SAS,MA,SAS,SAS,A,1
223,MA,SAS,A,MA,A,A,SAS,SAS,DENG,SAS,SAS,A,3
224,DENG,DENG,NA,SAS,A,SAS,NA,SAS,DENG,SAS,SAS,A,4
226,SAS,A,HA,MA,HA,A,MA,A,MA,A,MA,A,2
227,MA,NA,A,MA,A,SAS,NA,SAS,MA,SAS,SAS,A,1
228,A,HA,HA,MA,A,A,MA,A,MA,SAS,SAS,A,2
229,A,A,A,MA,DENG,SAS,SAS,SAS,SAS,SAS,SAS,A,3
230,MA,NA,SAS,SAS,DENG,SAS,SAS,SAS,DENG,SAS,MA,A,3
232,MA,A,A,SAS,A,A,SAS,SAS,SAS,SAS,SAS,SAS,1
234,MA,A,SAS,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,A,3
235,MA,NA,NA,MA,A,A,SAS,SAS,MA,SAS,SAS,A,3
236,MA,SAS,SAS,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,SAS,4
237,MA,A,A,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,A,3
239,MA,A,NA,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,SAS,3
240,A,HA,HA,MA,A,SAS,MA,SAS,DENG,A,MA,A,2
241,A,HA,HA,MA,A,SAS,NA,HA,MA,A,MA,A,2
242,MA,A,HA,MA,HA,SAS,NA,A,SAS,A,SAS,A,1
243,SAS,SAS,NA,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,SAS,3
244,DENG,A,DENG,SAS,DENG,SAS,SAS,NA,MA,A,NA,SAS,4
245,NA,A,SAS,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,A,3
247,A,A,HA,HA,HA,A,MA,HA,MA,A,MA,A,2
248,SAS,A,A,SAS,A,MA,NA,A,DENG,SAS,SAS,A,1
249,A,NA,SAS,SAS,A,SAS,NA,NA,DENG,A,SAS,SAS,4
252,SAS,A,NA,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,SAS,3
254,NA,DENG,SAS,SAS,DENG,SAS,SAS,SAS,DENG,SAS,SAS,SAS,4
256,NA,DENG,DENG,SAS,A,SAS,SAS,SAS,NA,NA,SAS,SAS,4
257,MA,A,A,MA,A,A,MA,A,DENG,A,SAS,A,1
258,DENG,DENG,DENG,SAS,A,SAS,SAS,SAS,DENG,SAS,SAS,SAS,4
259,MA,DENG,NA,MA,DENG,SAS,MA,SAS,SAS,SAS,SAS,A,1
260,SAS,DENG,NA,SAS,A,SAS,SAS,SAS,DENG,NA,NA,SAS,4
261,SAS,SAS,A,SAS,HA,SAS,NA,SAS,NA,SAS,SAS,A,1
262,A,A,A,MA,DENG,SAS,NA,SAS,DENG,SAS,SAS,SAS,1
263,A,A,HA,MA,MA,SAS,NA,HA,SAS,SAS,MA,A,1
266,SAS,A,A,HA,HA,A,MA,SAS,HA,SAS,MA,A,2
