STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,WEEK,state,S1,S2,S3,S4,S5
1379,36580,0,0,0,0,6,0,0,12,1,1,0,0,0,0
1379,36581,0,0,10,3,0,0,0,12,5,0,0,0,6.58328437444028e-05,0.999934167156256
1380,36656,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1380,36657,0,0,10,5,0,0,0,12,5,0,0,0,3.15891935770022e-05,0.999968410806423
1380,36658,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1380,36659,0,0,0,0,3,5,0,12,1,0.999947794101139,0,0,5.22058988610829e-05,0
1381,36827,0,0,10,3,0,0,0,12,5,0,0,0,6.58328437444028e-05,0.999934167156256
1381,36828,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1381,36829,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1381,36830,0,0,0,0,0,10,1,12,3,0,0,1,0,0
1381,36831,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1381,36832,0,0,9,3,0,0,2,12,5,0,0,0,0.0096242755924783,0.990375724407522
1381,36833,0,0,0,0,0,0,10,12,2,0,1,0,0,0
1381,36834,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1381,36835,1,5,0,0,9,1,0,12,1,0.999880654211544,0,0,0.000119345788455621,0
1381,36836,6,10,0,0,0,6,0,12,1,0.999996285200039,0,0,3.71479996141981e-06,0
1381,36837,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1381,36838,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1381,36839,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1382,36924,0,0,10,7,0,0,0,12,5,0,0,0,4.86766094881825e-05,0.999951323390512
1382,36925,0,0,10,4,0,0,0,12,5,0,0,0,1.00948613976754e-05,0.999989905138602
1385,37073,6,4,0,0,0,6,0,12,1,0.999989775766485,0,0,1.02242335151773e-05,0
1385,37074,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1385,37075,0,0,0,0,0,10,0,12,3,0,0,1,0,0
1385,37076,0,0,0,0,6,0,0,12,1,1,0,0,0,0
1385,37077,10,10,0,0,0,0,0,12,1,1,0,0,0,0
