user_id,W2_Sun,W2_Mon,W2_Tue,W2_Wed,W2_Thu,W2_Fri,W2_Sat,W3_Sun,W3_Mon,W3_Tue,W3_Wed,W3_Thu,W3_Fri,W3_Sat,W4_Sun,W4_Mon,W4_Tue,W4_Wed,W4_Thu,W4_Fri,W4_Sat,W5_Sun,W5_Mon,W5_Tue,W5_Wed,W5_Thu,W5_Fri,W5_Sat,W7_Sun,W7_Mon,W7_Tue,W7_Wed,W7_Thu,W7_Fri,W7_Sat,W8_Sun,W8_Mon,W8_Tue,W8_Wed,W8_Thu,W8_Fri,W8_Sat,W9_Sun,W9_Mon,W9_Tue,W9_Wed,W9_Thu,W9_Fri,W9_Sat,W10_Sun,W10_Mon,W10_Tue,W10_Wed,W10_Thu,W10_Fri,W10_Sat,W11_Sun,W11_Mon,W11_Tue,W11_Wed,W11_Thu,W11_Fri,W11_Sat,W12_Sun,W12_Mon,W12_Tue,W12_Wed,W12_Thu,W12_Fri,W12_Sat,W2_cnt,W3_cnt,W4_cnt,W5_cnt,W7_cnt,W8_cnt,W9_cnt,W10_cnt,W11_cnt,W12_cnt,tot_cnt,weekly_cnt_sd,weekly_entropy
902,0,2,1,0,1,1,0,0,3,1,0,0,1,0,0,3,3,1,1,1,0,2,0,1,0,0,2,2,0,1,0,0,0,2,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,4,3,5,4,3,3,1,2,2,2,29,1.1972189997378648,-0.10858716479225772
905,0,0,1,0,3,1,0,0,0,1,1,2,2,0,0,0,1,2,3,4,1,0,0,1,0,3,1,2,0,0,2,1,2,2,0,0,0,2,0,4,0,0,0,0,3,0,2,1,0,0,0,2,1,0,0,1,0,0,2,1,1,0,0,0,1,3,0,3,3,0,3,4,5,4,4,2,3,3,3,4,35,0.8498365855987975,-0.09991631995770353
907,2,1,6,0,1,2,0,3,1,3,0,5,4,0,1,2,2,1,4,1,1,1,1,0,0,2,0,0,1,1,1,0,2,1,0,2,0,3,2,0,1,0,0,0,0,0,1,0,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,5,5,7,3,5,4,1,4,1,3,38,1.8737959096740262,-0.11437572981434477
908,1,1,4,1,1,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,3,1,2,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,5,2,2,3,3,1,1,2,1,2,22,1.2292725943057183,-0.1191099361781325
909,0,3,0,1,0,0,0,1,2,0,1,3,0,0,1,4,0,2,2,2,0,0,2,1,2,5,0,0,0,2,0,1,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,4,0,1,1,0,0,0,3,0,2,1,0,0,2,4,5,4,3,3,1,2,3,3,30,1.1547005383792515,-0.10689082025978379
910,0,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,3,1,3,2,2,2,1,2,2,19,0.7378647873726218,-0.107070279678091
911,0,3,3,0,0,1,0,0,2,0,0,3,2,0,0,2,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,0,2,2,1,0,1,0,1,1,3,0,1,0,0,1,0,6,1,1,0,0,0,0,2,0,1,0,0,3,3,2,3,1,3,4,4,4,2,29,0.9944289260117533,-0.10456857590308534
912,2,5,0,3,3,1,0,0,4,1,2,6,1,0,0,10,0,3,5,0,0,0,4,2,3,2,0,0,0,3,0,2,1,0,0,0,3,2,3,4,0,0,0,1,0,0,2,1,0,0,3,0,1,0,1,1,1,2,0,0,2,2,1,0,3,2,0,5,5,3,5,5,3,4,3,4,3,4,5,5,41,0.8755950357709131,-0.09887877505886505
913,0,0,4,6,0,1,0,1,0,1,1,0,0,0,0,1,4,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,3,3,2,0,1,2,2,0,2,18,1.1352924243950935,-0.12690597027656725
914,4,3,6,0,5,0,0,2,4,6,0,0,0,0,0,3,1,2,0,1,3,0,3,2,2,0,1,0,0,3,3,2,0,1,0,0,2,3,0,0,0,1,0,0,1,2,0,1,1,2,1,2,2,0,0,0,1,0,1,0,0,1,1,0,0,4,0,0,1,0,4,3,5,4,4,3,4,4,4,2,37,0.8232726023485646,-0.0992031065250496
