user_id,tot_video_cnt,median_video_cnt,mad_video_cnt,days_video_used,prop_video_used,tot_exe_cnt,median_exe_cnt,mad_exe_cnt,days_exe_used,prop_exe_used,tot_mcq_cnt,median_mcq_cnt,mad_mcq_cnt,days_mcq_used,prop_mcq_used,tot_mcog_cnt,median_mcog_cnt,mad_mcog_cnt,days_mcog_used,prop_mcog_used,tot_res_cnt,median_res_cnt,mad_res_cnt,days_res_used,prop_res_used
754,0,0,0,0,0,1508,67,54.856199999999994,17,0.8095238095238095,21,0,0,2,0.09523809523809523,15,0,0,4,0.19047619047619047,286,6,7.412999999999999,21,1
755,1448,0,0,11,0.3055555555555556,1398,0.5,0.7413,18,0.5,74,0,0,6,0.16666666666666666,39,0,0,8,0.2222222222222222,541,8.5,8.8956,35,0.9722222222222222
756,716,60.5,89.6973,6,0.75,320,45.5,45.9606,5,0.625,127,17,13.343399999999999,6,0.75,18,0,0,2,0.25,74,7,5.1891,8,1
757,528,0,0,7,0.25925925925925924,1357,45,66.717,20,0.7407407407407407,111,0,0,5,0.18518518518518517,23,0,0,3,0.1111111111111111,286,5,4.4478,27,1
758,0,0,0,0,0,1055,17,25.2042,16,0.5161290322580645,23,0,0,3,0.0967741935483871,3,0,0,1,0.03225806451612903,247,3,2.9652,31,1
759,206,0,0,6,0.3333333333333333,77,0,0,3,0.16666666666666666,53,0,0,5,0.2777777777777778,12,0,0,3,0.16666666666666666,173,6,4.4478,18,1
760,2,0,0,1,0.043478260869565216,1384,46,68.19959999999999,15,0.6521739130434783,0,0,0,0,0,2,0,0,1,0.043478260869565216,245,4,2.9652,23,1
761,38,0,0,4,0.14285714285714285,1203,47,68.19959999999999,19,0.6785714285714286,207,0,0,6,0.21428571428571427,23,0,0,8,0.2857142857142857,457,14,11.8608,28,1
762,246,0,0,2,0.07142857142857142,1283,37,54.856199999999994,20,0.7142857142857143,93,0,0,5,0.17857142857142858,12,0,0,2,0.07142857142857142,313,8,8.8956,28,1
763,0,0,0,0,0,1058,39,57.8214,14,0.8235294117647058,15,0,0,1,0.058823529411764705,15,0,0,2,0.11764705882352941,190,6,4.4478,17,1
764,1044,0,0,3,0.13043478260869565,890,2,2.9652,15,0.6521739130434783,4,0,0,1,0.043478260869565216,35,0,0,2,0.08695652173913043,560,24,14.825999999999999,23,1
765,7,0,0,1,0.04,966,35,51.891,15,0.6,49,0,0,4,0.16,2,0,0,2,0.08,250,6,5.9304,25,1
767,663,0,0,11,0.275,905,1.5,2.2239,21,0.525,210,0,0,10,0.25,18,0,0,4,0.1,697,12.5,11.119499999999999,40,1
768,657,0,0,10,0.30303030303030304,1386,39,57.8214,19,0.5757575757575758,117,0,0,8,0.24242424242424243,29,0,0,5,0.15151515151515152,272,7,5.9304,33,1
769,0,0,0,0,0,1408,82.5,120.83189999999999,13,0.7222222222222222,7,0,0,1,0.05555555555555555,11,0,0,3,0.16666666666666666,231,5.5,5.1891,18,1
770,692,0,0,15,0.39473684210526316,1067,17,25.2042,25,0.6578947368421053,112,0,0,10,0.2631578947368421,47,0,0,3,0.07894736842105263,666,12,8.8956,38,1
771,390,0,0,10,0.2564102564102564,1695,0,0,19,0.48717948717948717,225,0,0,10,0.2564102564102564,54,0,0,10,0.2564102564102564,386,7,5.9304,38,0.9743589743589743
772,9,0,0,1,0.034482758620689655,1159,15,22.238999999999997,15,0.5172413793103449,0,0,0,0,0,1,0,0,1,0.034482758620689655,252,6,4.4478,29,1
773,163,0,0,4,0.17391304347826086,735,25,37.065,14,0.6086956521739131,44,0,0,5,0.21739130434782608,25,0,0,3,0.13043478260869565,148,4,4.4478,23,1
774,0,0,0,0,0,114,57,84.5082,1,0.5,0,0,0,0,0,0,0,0,0,0,12,6,4.4478,2,1
775,398,0,0,11,0.4074074074074074,1075,31,45.9606,18,0.6666666666666666,101,0,0,13,0.48148148148148145,8,0,0,3,0.1111111111111111,344,9,11.8608,24,0.8888888888888888
777,565,0,0,13,0.4642857142857143,951,39,56.3388,17,0.6071428571428571,206,0,0,13,0.4642857142857143,1,0,0,1,0.03571428571428571,212,5,4.4478,27,0.9642857142857143
778,144,0,0,7,0.25,1151,35.5,51.149699999999996,22,0.7857142857142857,82,0,0,3,0.10714285714285714,27,0,0,8,0.2857142857142857,444,11.5,10.3782,28,1
779,40,0,0,4,0.13793103448275862,1771,0,0,12,0.41379310344827586,148,0,0,2,0.06896551724137931,80,0,0,8,0.27586206896551724,556,10,8.8956,29,1
780,0,0,0,0,0,1211,17,25.2042,16,0.7272727272727273,4,0,0,1,0.045454545454545456,7,0,0,4,0.18181818181818182,396,14,11.8608,22,1
781,67,0,0,3,0.13636363636363635,854,0.5,0.7413,11,0.5,87,0,0,6,0.2727272727272727,6,0,0,3,0.13636363636363635,268,9,8.1543,21,0.9545454545454546
782,27,0,0,4,0.26666666666666666,819,8,11.8608,9,0.6,27,0,0,2,0.13333333333333333,6,0,0,3,0.2,203,11,10.3782,15,1
784,349,0,0,4,0.2,717,17,25.2042,16,0.8,5,0,0,2,0.1,22,0,0,1,0.05,312,14,15.5673,20,1
786,994,0,0,9,0.3103448275862069,2128,59,87.4734,21,0.7241379310344828,130,0,0,4,0.13793103448275862,6,0,0,2,0.06896551724137931,330,7,7.412999999999999,29,1
787,458,0,0,11,0.28205128205128205,794,0,0,19,0.48717948717948717,153,0,0,12,0.3076923076923077,28,0,0,11,0.28205128205128205,399,9,7.412999999999999,39,1
