user_id,tot_ontopic_cnt,median_ontopic_cnt,mad_ontopic_cnt,ontopic_days,ontopic_prop,tot_revisit_cnt,median_revisit_cnt,mad_revisit_cnt,revisit_days,revisit_prop,tot_metacog_cnt,median_metacog_cnt,mad_metacog_cnt,metacog_days,metacog_prop,tot_orient_cnt,median_orient_cnt,mad_orient_cnt,orinet_days,orient_prop,tot_prj_cnt,median_prj_cnt,mad_prj_cnt,prj_days,prj_prop
1364,1714,21,31.1346,37,0.8222222222222222,654,0,0,22,0.4888888888888889,851,15,13.343399999999999,45,1,791,15,13.343399999999999,45,1,126,0,0,8,0.17777777777777778
1365,1254,0,0,18,0.4864864864864865,1656,0,0,13,0.35135135135135137,385,7,7.412999999999999,37,1,377,7,4.4478,37,1,83,0,0,9,0.24324324324324326
1366,425,0,0,9,0.3333333333333333,345,0,0,12,0.4444444444444444,211,5,4.4478,27,1,207,5,5.9304,27,1,47,0,0,5,0.18518518518518517
1367,505,10,14.825999999999999,10,0.5882352941176471,233,0,0,5,0.29411764705882354,95,3,2.9652,17,1,86,3,2.9652,17,1,14,0,0,2,0.11764705882352941
1368,1291,3,4.4478,24,0.6,169,0,0,12,0.3,368,9.5,8.1543,37,0.925,401,8,7.412999999999999,37,0.925,32,0,0,5,0.125
1369,689,2,2.9652,21,0.525,260,0,0,15,0.375,276,5,4.4478,36,0.9,265,5.5,5.1891,39,0.975,18,0,0,5,0.125
1370,464,0,0,14,0.358974358974359,836,1,1.4826,20,0.5128205128205128,245,5,2.9652,37,0.9487179487179487,175,3,1.4826,38,0.9743589743589743,55,0,0,12,0.3076923076923077
1375,1982,0.5,0.7413,20,0.5,1986,10.5,15.5673,26,0.65,521,11,8.1543,39,0.975,432,8.5,7.412999999999999,40,1,126,0,0,12,0.3
1376,467,5,7.412999999999999,13,0.5652173913043478,404,0,0,11,0.4782608695652174,185,4,4.4478,23,1,159,5,4.4478,23,1,8,0,0,2,0.08695652173913043
1377,1223,1,1.4826,23,0.5227272727272727,404,0,0,20,0.45454545454545453,315,5.5,5.1891,43,0.9772727272727273,246,4,4.4478,41,0.9318181818181818,53,0,0,10,0.22727272727272727
1378,1530,0,0,22,0.4888888888888889,1047,0,0,20,0.4444444444444444,543,8,8.8956,45,1,404,5,4.4478,44,0.9777777777777777,43,0,0,11,0.24444444444444444
1379,754,0,0,17,0.425,634,0,0,17,0.425,420,7.5,9.636899999999999,40,1,355,6,7.412999999999999,40,1,58,0,0,11,0.275
1380,411,1,1.4826,22,0.5116279069767442,472,8,11.8608,26,0.6046511627906976,384,6,5.9304,41,0.9534883720930233,374,7,5.9304,43,1,24,0,0,6,0.13953488372093023
1381,1646,4,5.9304,30,0.6976744186046512,356,1,1.4826,23,0.5348837209302325,621,11,10.3782,42,0.9767441860465116,615,11,10.3782,42,0.9767441860465116,74,0,0,9,0.20930232558139536
1382,1496,1,1.4826,21,0.5384615384615384,646,0,0,15,0.38461538461538464,299,5,4.4478,37,0.9487179487179487,307,6,5.9304,37,0.9487179487179487,103,0,0,8,0.20512820512820512
1385,816,0,0,22,0.4489795918367347,584,4,5.9304,32,0.6530612244897959,414,5,4.4478,44,0.8979591836734694,487,8,5.9304,47,0.9591836734693877,59,0,0,9,0.1836734693877551
1386,362,0,0,13,0.38235294117647056,272,0,0,12,0.35294117647058826,199,3.5,3.7064999999999997,34,1,207,4,2.9652,34,1,56,0,0,8,0.23529411764705882
1390,1486,6.5,9.636899999999999,13,0.5909090909090909,402,0.5,0.7413,11,0.5,205,6.5,4.4478,20,0.9090909090909091,176,6,3.7064999999999997,21,0.9545454545454546,62,0,0,5,0.22727272727272727
1392,398,0,0,14,0.3684210526315789,203,0,0,7,0.18421052631578946,391,7.5,7.412999999999999,37,0.9736842105263158,315,7,7.412999999999999,37,0.9736842105263158,81,0,0,10,0.2631578947368421
1393,190,0,0,10,0.2857142857142857,449,6,8.8956,29,0.8285714285714286,200,3,4.4478,26,0.7428571428571429,264,5,4.4478,35,1,63,0,0,9,0.2571428571428571
1394,421,35,18.5325,9,0.75,154,8.5,12.6021,7,0.5833333333333334,49,3,2.2239,11,0.9166666666666666,34,2,2.2239,11,0.9166666666666666,0,0,0,0,0
1395,431,17,25.2042,11,0.55,172,4.5,6.6716999999999995,14,0.7,122,4,4.4478,20,1,93,2.5,2.2239,20,1,20,0,0,2,0.1
1396,1417,0,0,12,0.3,515,0,0,17,0.425,592,16,12.6021,40,1,641,15,12.6021,40,1,135,0,0,10,0.25
1397,3159,22,32.6172,32,0.6808510638297872,1446,0,0,21,0.44680851063829785,593,8,8.8956,47,1,676,7,7.412999999999999,47,1,109,0,0,10,0.2127659574468085
